Annotation_id,Annotator,Created_at,ID,Lead_time,Sentiment,Text,Updated_at
25,1,2025-06-27T05:43:31.126768Z,25,2.529,Negative,Disappointing result overall.,2025-06-27T05:43:31.126782Z
,,,,,,,
26,1,2025-06-27T05:43:33.997384Z,26,2.542,Neutral,"Item is fine, just not great.",2025-06-27T05:43:33.997398Z
,,,,,,,
27,1,2025-06-27T05:43:36.630015Z,27,2.295,Positive,I'm happy with this purchase.,2025-06-27T05:43:36.630031Z
,,,,,,,
28,1,2025-06-27T05:43:39.608176Z,28,2.621,Negative,This is a scam!,2025-06-27T05:43:39.608191Z
,,,,,,,
29,1,2025-06-27T05:43:43.826851Z,29,3.887,Positive,Product is exactly as described.,2025-06-27T05:43:43.826873Z
,,,,,,,
30,1,2025-06-27T05:43:47.122661Z,30,2.622,Negative,Very poor customer support.,2025-06-27T05:43:47.122696Z
,,,,,,,
31,1,2025-06-27T05:43:49.743650Z,31,2.22,Positive,Satisfied with the performance.,2025-06-27T05:43:49.743672Z
,,,,,,,
32,1,2025-06-27T05:43:55.911065Z,32,5.815,Positive,It does what it's supposed to.,2025-06-27T05:43:55.911079Z
,,,,,,,
33,1,2025-06-27T05:43:59.830292Z,33,3.242,Positive,"No complaints, decent item.",2025-06-27T05:43:59.830327Z
,,,,,,,
34,1,2025-06-27T05:44:02.905438Z,34,2.683,Negative,Avoid at all costs!,2025-06-27T05:44:02.905461Z
,,,,,,,
35,1,2025-06-27T05:44:05.401266Z,35,2.151,Positive,Amazing value for the price.,2025-06-27T05:44:05.401281Z
,,,,,,,
36,1,2025-06-27T05:44:09.011911Z,36,2.943,Positive,This is my favorite so far.,2025-06-27T05:44:09.011954Z
,,,,,,,
37,1,2025-06-27T05:44:12.092798Z,37,2.707,Neutral,Nothing to write home about.,2025-06-27T05:44:12.092820Z
,,,,,,,
38,1,2025-06-27T05:44:15.360046Z,38,2.93,Negative,"Just bad, not even usable.",2025-06-27T05:44:15.360060Z
,,,,,,,
39,1,2025-06-27T05:44:20.025045Z,39,4.326,Neutral,So-so experience.,2025-06-27T05:44:20.025061Z
,,,,,,,
40,1,2025-06-27T05:44:23.781603Z,40,3.083,Positive,Loved how easy it was to use.,2025-06-27T05:44:23.781680Z
,,,,,,,
41,1,2025-06-27T05:44:27.473324Z,41,3.313,Negative,Came broken in the box.,2025-06-27T05:44:27.473338Z
,,,,,,,
42,1,2025-06-27T05:44:32.952965Z,42,5.115,Negative,No strong feelings either way.,2025-06-27T05:44:32.952979Z
,,,,,,,
43,1,2025-06-27T05:44:36.223330Z,43,2.919,Positive,Very intuitive and fast.,2025-06-27T05:44:36.223355Z
,,,,,,,
44,1,2025-06-27T05:44:40.589904Z,44,4.012,Neutral,Expected more from this brand.,2025-06-27T05:44:40.589919Z
,,,,,,,
45,1,2025-06-27T05:44:43.189518Z,45,2.256,Positive,A great buy!,2025-06-27T05:44:43.189532Z
,,,,,,,
46,1,2025-06-27T05:44:46.672057Z,46,3.141,Negative,The item stopped working after one day.,2025-06-27T05:44:46.672071Z
,,,,,,,
47,1,2025-06-27T05:44:49.365849Z,47,2.333,Positive,Super happy with the results!,2025-06-27T05:44:49.365863Z
,,,,,,,
48,1,2025-06-27T05:44:53.685438Z,48,3.996,Neutral,Doesnot live up to the hype.,2025-06-27T05:44:53.685453Z
,,,,,,,
49,1,2025-06-27T05:44:56.901557Z,49,2.889,Positive,Highly recommend to everyone.,2025-06-27T05:44:56.901571Z
,,,,,,,
50,1,2025-06-27T05:44:59.662960Z,50,2.418,Negative,Low quality materials used.,2025-06-27T05:44:59.662981Z
,,,,,,,
51,1,2025-06-27T05:45:02.334089Z,51,2.331,Positive,This one really impressed me.,2025-06-27T05:45:02.334102Z
,,,,,,,
52,1,2025-06-27T05:45:05.536794Z,52,2.86,Negative,Shipping took too long.,2025-06-27T05:45:05.536808Z
,,,,,,,
53,1,2025-06-27T05:45:09.541846Z,53,3.665,Neutral,Meh. It's okay.,2025-06-27T05:45:09.541861Z
,,,,,,,
54,1,2025-06-27T05:45:12.902533Z,54,3.012,Positive,Top-notch customer service.,2025-06-27T05:45:12.902547Z
,,,,,,,
55,1,2025-06-27T05:45:15.949538Z,55,2.722,Negative,Definitely not worth the price.,2025-06-27T05:45:15.949552Z
,,,,,,,
56,1,2025-06-27T05:45:18.446142Z,56,2.157,Positive,Better than expected!,2025-06-27T05:45:18.446162Z
,,,,,,,
57,1,2025-06-27T05:45:21.771480Z,57,2.976,Negative,It arrived late and scratched.,2025-06-27T05:45:21.771505Z
,,,,,,,
58,1,2025-06-27T05:45:24.629984Z,58,2.528,Positive,I use it every day now.,2025-06-27T05:45:24.629999Z
,,,,,,,
59,1,2025-06-27T05:45:27.410084Z,59,2.451,Negative,Disgusting product.,2025-06-27T05:45:27.410098Z
,,,,,,,
60,1,2025-06-27T05:45:30.774958Z,60,3.041,Positive,Totally acceptable for casual use.,2025-06-27T05:45:30.774974Z
,,,,,,,
61,1,2025-06-27T05:45:37.887347Z,61,6.78,Positive,Great for everyday tasks.,2025-06-27T05:45:37.887363Z
